$GPGGA,064658.00,3820.9153495,N,09258.3756011,E,4,19,0.7,2786.2593,M,-58.454,M,01,0004*47
$GPGGA,064659.00,3820.9153522,N,09258.3755912,E,4,19,0.7,2786.2555,M,-58.454,M,01,0004*48
$GPGGA,064700.00,3820.9153573,N,09258.3755858,E,4,19,0.7,2786.2530,M,-58.454,M,01,0004*4D
$GPGGA,064701.00,3820.9153489,N,09258.3756091,E,4,19,0.7,2786.2640,M,-58.454,M,01,0004*42
$GPGGA,064702.00,3820.9152872,N,09258.3757230,E,4,19,0.7,2786.2485,M,-58.454,M,01,0004*4B
$GPGGA,064703.00,3820.9150400,N,09258.3759423,E,4,19,0.7,2786.2476,M,-58.454,M,01,0004*47
$GPGGA,064704.00,3820.9146713,N,09258.3763385,E,4,19,0.7,2786.2311,M,-58.454,M,01,0004*42
$GPGGA,064705.00,3820.9142506,N,09258.3768129,E,4,19,0.7,2786.2370,M,-58.454,M,01,0004*49
$GPGGA,064706.00,3820.9137875,N,09258.3772367,E,4,19,0.7,2786.2168,M,-58.454,M,01,0004*49
$GPGGA,064707.00,3820.9132963,N,09258.3776968,E,4,19,0.7,2786.1948,M,-58.454,M,01,0004*43
$GPGGA,064708.00,3820.9128326,N,09258.3782015,E,4,19,0.7,2786.1969,M,-58.454,M,01,0004*47
$GPGGA,064709.00,3820.9123824,N,09258.3786599,E,4,19,0.7,2786.2367,M,-58.454,M,01,0004*46
$GPGGA,064710.00,3820.9119296,N,09258.3792285,E,4,19,0.7,2786.2616,M,-58.454,M,01,0004*48
$GPGGA,064812.00,3820.9094506,N,09258.3824452,E,1,16,1.1,2774.8952,M,-58.455,M,,0004*44
$GPGGA,064813.00,3820.9092772,N,09258.3825580,E,1,16,1.1,2775.5667,M,-58.455,M,,0004*48
$GPGGA,064814.00,3820.9088447,N,09258.3827281,E,1,17,1.1,2776.0858,M,-58.455,M,,0004*40
$GPGGA,064815.00,3820.9080417,N,09258.3837582,E,1,18,0.7,2777.5290,M,-58.455,M,,0004*4B
$GPGGA,064816.00,3820.9077128,N,09258.3838018,E,1,20,0.7,2776.1788,M,-58.455,M,,0004*42
$GPGGA,064817.00,3820.9072825,N,09258.3841526,E,1,20,0.7,2776.4431,M,-58.455,M,,0004*40
$GPGGA,064818.00,3820.9068730,N,09258.3845453,E,1,20,0.7,2775.4342,M,-58.455,M,,0004*48
$GPGGA,064819.00,3820.9064101,N,09258.3851298,E,1,20,0.7,2775.5988,M,-58.455,M,,0004*48
$GPGGA,064820.00,3820.9061023,N,09258.3859233,E,1,21,0.7,2774.3780,M,-58.455,M,,0004*4F
$GPGGA,064821.00,3820.9056534,N,09258.3863100,E,1,21,0.7,2774.4090,M,-58.455,M,,0004*42
$GPGGA,064822.00,3820.9065081,N,09258.3845981,E,5,12,0.9,2783.5254,M,-58.455,M,01,0004*47
$GPGGA,064823.00,3820.9055232,N,09258.3859727,E,4,12,0.7,2786.1920,M,-58.455,M,01,0004*46
$GPGGA,064824.00,3820.9050693,N,09258.3864419,E,4,12,0.7,2786.1924,M,-58.455,M,01,0004*4F
$GPGGA,064825.00,3820.9046144,N,09258.3869498,E,4,12,0.7,2786.2306,M,-58.455,M,01,0004*49
$GPGGA,064826.00,3820.9041660,N,09258.3874932,E,4,12,0.6,2786.2131,M,-58.455,M,01,0004*4A
$GPGGA,064827.00,3820.9037198,N,09258.3880238,E,4,12,0.6,2786.1744,M,-58.455,M,01,0004*47
$GPGGA,064828.00,3820.9032682,N,09258.3885250,E,4,13,0.6,2786.2081,M,-58.455,M,01,0004*46
$GPGGA,064829.00,3820.9028006,N,09258.3890219,E,4,13,0.6,2786.2046,M,-58.455,M,01,0004*44
$GPGGA,064830.00,3820.9023201,N,09258.3895125,E,4,13,0.6,2786.2232,M,-58.455,M,01,0004*4A
$GPGGA,064831.00,3820.9018225,N,09258.3900429,E,4,13,0.6,2786.2228,M,-58.455,M,01,0004*4A
$GPGGA,064832.00,3820.9013310,N,09258.3905913,E,4,13,0.6,2786.2224,M,-58.455,M,01,0004*48
$GPGGA,064833.00,3820.9008489,N,09258.3911388,E,4,13,0.6,2786.1834,M,-58.455,M,01,0004*41
$GPGGA,064834.00,3820.9003676,N,09258.3916840,E,4,13,0.6,2786.1688,M,-58.455,M,01,0004*4E
$GPGGA,064835.00,3820.8998888,N,09258.3921892,E,4,13,0.6,2786.1986,M,-58.456,M,01,0004*43
$GPGGA,064836.00,3820.8994222,N,09258.3926920,E,4,13,0.6,2786.1888,M,-58.456,M,01,0004*46
