121.441559280,31.028178972,0.046279381,0
121.441562743,31.028203671,0.030954272,1
121.441565125,31.028229218,0.019354569,2
121.441566699,31.028256268,0.011314320,3
121.441567608,31.028283056,0.006438822,4
121.441568127,31.028309905,0.006529620,5
121.441568653,31.028336733,0.009501498,6
121.441569414,31.028363412,0.012628675,7
121.441570426,31.028390119,0.055497644,8
121.441574297,31.028413043,-0.002995800,9
121.441574038,31.028441851,-0.005061075,10
121.441573608,31.028470182,-0.008586555,11
121.441572883,31.028498291,-0.013318021,12
121.441571774,31.028526041,-0.018245228,13
121.441570256,31.028553726,-0.021209860,14
121.441568506,31.028581168,-0.022138923,15
121.441566702,31.028608282,-0.024767629,16
121.441564706,31.028635068,-0.029179774,17
121.441562390,31.028661422,-0.038565352,18
121.441559336,31.028687644,-0.048497304,19
121.441555492,31.028713778,-0.054663390,20
121.441551155,31.028739869,-0.056860884,21
121.441546630,31.028766007,-0.058583000,22
121.441541959,31.028792171,-0.060627035,23
121.441537117,31.028818349,-0.062819616,24
121.441532108,31.028844453,-0.066458140,25
121.441526816,31.028870461,-0.069950215,26
121.441521286,31.028896227,-0.061810611,27
121.441516672,31.028920677,-0.049419697,28
121.441512988,31.028945248,-0.099133307,29
121.441504859,31.028971347,-0.091860698,30
121.441497238,31.028997930,-0.120453985,31
121.441487535,31.029022968,-0.105919244,32
121.441478385,31.029050271,-0.110078684,33
121.441468840,31.029077552,-0.110044509,34
121.441459388,31.029104577,-0.110838844,35
121.441450498,31.029129793,-0.105308048,36
121.441441349,31.029157267,-0.094316307,37
121.441434452,31.029180648,-0.113745862,38
121.441424916,31.029206915,-0.112236429,39
121.441414723,31.029235419,-0.119197158,40
121.441404258,31.029262750,-0.137770582,41
121.441393887,31.029285599,-0.136559984,42
121.441381813,31.029312485,-0.145927942,43
121.441369144,31.029338503,-0.167658456,44
121.441356903,31.029359537,-0.153036644,45
121.441343104,31.029386238,-0.157143916,46
121.441329310,31.029412042,-0.159506788,47
121.441315649,31.029437111,-0.174175842,48
121.441303196,31.029457430,-0.178051400,49
121.441287547,31.029482197,-0.194806203,50
121.441267929,31.029509437,-0.179721105,51
121.441252063,31.029534219,-0.116428792,52
121.441244072,31.029555657,-0.138787576,53
121.441234539,31.029576475,-0.157777117,54
121.441223159,31.029597653,-0.170337330,55
121.441210024,31.029619747,-0.181686150,56
121.441195309,31.029642381,-0.191877197,57
121.441179269,31.029665168,-0.198377376,58
121.441162425,31.029687912,-0.201845732,59
121.441145066,31.029710726,-0.199631130,60
121.441127902,31.029733677,-0.193895716,61
121.441112102,31.029755772,-0.190830893,62
121.441097710,31.029776383,-0.190194930,63
121.441084064,31.029796024,-0.217113381,64
121.441070869,31.029811396,-0.173964030,65
121.441057514,31.029833224,-0.183618645,66
121.441043049,31.029855140,-0.242453042,67
121.441024792,31.029872366,-0.301511452,68
121.441002958,31.029882658,-0.328191745,69
121.440978394,31.029887023,-0.333333183,70
121.440951142,31.029886997,-0.326203459,71
121.440919761,31.029880401,-0.329325819,72
121.440890743,31.029875860,-0.313087675,73
121.440859163,31.029864321,-0.318405675,74
121.440833127,31.029856255,-0.320141244,75
121.440805507,31.029848245,-0.316616591,76
121.440777943,31.029839171,-0.324664806,77
121.440749390,31.029832529,-0.330090779,78
121.440717422,31.029828037,-0.329667277,79
121.440683011,31.029833183,-0.263251955,80
121.440653261,31.029810075,-0.283509049,81
121.440600839,31.029777660,-0.324858860,82
121.440581690,31.029782062,-0.331660735,83
121.440559313,31.029784312,-0.333326095,84
121.440529099,31.029784113,-0.296538610,85
121.440505572,31.029772035,-0.333088218,86
121.440474263,31.029770834,-0.288080013,87
121.440447426,31.029755212,-0.310849479,88
121.440412378,31.029741643,-0.316888847,89
121.440381678,31.029731625,-0.312813719,90
121.440352025,31.029720709,-0.314795942,91
121.440319450,31.029709367,-0.249386773,92
121.440295593,31.029688209,-0.317222454,93
121.440264136,31.029678057,-0.302236904,94
121.440233599,31.029663853,-0.331270269,95
121.440205549,31.029660717,-0.318483811,96
121.440173357,31.029650773,-0.322760392,97
121.440140987,31.029642420,-0.326549948,98
121.440107032,31.029635463,-0.331636522,99
121.440073995,31.029632117,-0.308349907,100
121.440044554,31.029620028,-0.316700042,101
121.440012631,31.029609546,-0.304141065,102
121.439986100,31.029597647,-0.321078578,103
121.439958008,31.029589811,-0.310138415,104
121.439928174,31.029578059,-0.315829982,105
121.439896082,31.029567228,-0.307311593,106
121.439865721,31.029554472,-0.323446958,107
121.439834065,31.029546585,-0.325642786,108
121.439805433,31.029540326,-0.316946945,109
121.439775026,31.029530423,-0.322548591,110
121.439739024,31.029521035,-0.307054448,111
121.439707114,31.029507554,-0.297287971,112
121.439671216,31.029489348,-0.317219057,113
121.439648264,31.029481940,-0.300124001,114
121.439615767,31.029466236,-0.314311119,115
121.439585117,31.029455412,-0.331679169,116
121.439555488,31.029452449,-0.325552590,117
121.439526999,31.029446184,-0.322918892,118
121.439494531,31.029437871,-0.309295381,119
121.439463107,31.029425244,-0.330266951,120
121.439432234,31.029421027,-0.315929000,121
121.439403227,31.029411267,-0.312265139,122
121.439369747,31.029398763,-0.272597922,123
121.439341455,31.029378853,-0.331767880,124
121.439307001,31.029375502,-0.320816014,125
121.439274850,31.029366433,-0.325081225,126
121.439243075,31.029359228,-0.303585403,127
121.439215022,31.029346509,-0.316394898,128
121.439182941,31.029335872,-0.323306198,129
121.439148722,31.029327284,-0.322112294,130
121.439119155,31.029319412,-0.316546076,131
121.439088797,31.029309395,-0.287039455,132
