92.966722578,38.347665095,1
92.966735121,38.347655738,1
92.966751379,38.347652605,1
92.966767188,38.347650852,1
92.966783850,38.347635691,1
92.966793171,38.347633818,1
92.966810087,38.347622886,1
92.966822440,38.347616566,1
92.966840147,38.347604481,1
92.966856713,38.347597775,1
92.966870369,38.347591570,1
92.966885278,38.347584353,1
92.966899794,38.347576999,1
92.966914958,38.347570089,1
92.966927678,38.347558474,1
92.966941614,38.347554224,1
92.966957432,38.347549856,1
92.966971255,38.347543010,1
92.966983593,38.347539143,1
92.967003179,38.347523216,1
92.967020088,38.347514952,1
92.967037790,38.347507553,1
92.967061225,38.347494698,1
92.967083530,38.347483113,1
92.967104907,38.347467036,1
92.967124613,38.347459605,1
92.967141934,38.347452429,1
92.967159142,38.347442712,1
92.967171765,38.347433064,1
92.967183751,38.347425445,1
92.967197172,38.347420058,1
92.967212079,38.347410041,1
92.967223541,38.347400526,1
92.967234774,38.347390032,1
92.967246757,38.347379727,1
92.967256658,38.347370056,1
92.967268979,38.347363068,1
92.967281676,38.347355886,1
92.967295260,38.347348441,1
92.967306725,38.347342316,1
92.967319714,38.347335903,1
92.967334009,38.347328581,1
92.967348753,38.347320474,1
92.967363209,38.347313867,1
92.967380081,38.347308721,1
92.967395267,38.347304085,1
92.967411270,38.347298576,1
92.967426917,38.347292201,1
92.967443805,38.347284402,1
92.967458624,38.347276992,1
92.967473169,38.347271005,1
92.967487089,38.347263611,1
92.967500525,38.347254085,1
92.967523159,38.347240460,1
92.967540478,38.347229446,1
92.967554021,38.347219309,1
92.967617294,38.347179088,1
92.967712278,38.347106685,1
92.967778536,38.347060318,1
92.967816910,38.347036345,1
92.967835755,38.347023641,1
92.967844802,38.347018151,1
92.967852528,38.347015016,1
92.967870821,38.346998534,1
92.967902231,38.346979058,1
92.967921296,38.346968268,1
92.967940427,38.346960780,1
92.967954639,38.346957084,1
92.967966991,38.346953865,1
92.967979319,38.346949726,1
92.967992415,38.346944966,1
92.968008612,38.346937635,1
92.968023892,38.346928702,1
92.968038612,38.346921064,1
92.968050573,38.346912022,1
92.968064087,38.346903441,1
92.968078449,38.346893650,1
92.968093772,38.346884957,1
92.968104892,38.346880587,1
92.968120185,38.346873755,1
92.968134350,38.346866386,1
92.968146723,38.346861335,1
92.968171289,38.346848440,1
92.968189871,38.346843308,1
92.968210803,38.346834738,1
92.968230163,38.346829355,1
92.968246651,38.346822652,1
92.968253721,38.346822950,1
92.968270342,38.346816183,1
92.968286604,38.346809187,1
92.968306341,38.346804838,1
92.968329179,38.346800097,1
92.968349643,38.346796028,1
92.968366838,38.346792576,1
92.968382954,38.346790649,1
92.968397329,38.346788717,1
92.968411347,38.346786993,1
92.968429925,38.346784621,1
92.968443717,38.346783074,1
92.968457593,38.346782537,1
92.968468949,38.346781942,1
92.968482279,38.346779597,1
92.968495038,38.346777422,1
92.968512642,38.346774976,1
92.968531586,38.346769528,1
92.968547824,38.346766771,1
92.968561347,38.346768846,1
92.968580961,38.346767096,1
92.968597141,38.346763014,1
92.968614583,38.346759554,1
92.968629980,38.346756555,1
92.968643034,38.346754922,1
92.968657915,38.346749618,1
92.968661743,38.346749265,1
92.968687338,38.346743009,1
92.968710047,38.346738798,1
92.968729626,38.346729589,1
92.968745698,38.346721839,1
92.968759494,38.346713508,1
92.968784728,38.346698030,1
92.968801478,38.346684574,1
92.968816333,38.346675956,1
92.968828394,38.346668073,1
92.968840596,38.346660682,1
92.968863285,38.346647136,1
92.968877249,38.346637465,1
92.968887244,38.346631994,1
92.968906884,38.346613967,1
92.968923153,38.346600597,1
92.968936254,38.346585433,1
92.968949116,38.346573919,1
92.968958912,38.346562219,1
92.968976323,38.346548976,1
92.968990529,38.346534696,1
92.969001611,38.346524931,1
92.969012820,38.346515371,1
92.969029602,38.346498629,1
92.969041692,38.346486128,1
92.969051535,38.346475066,1
92.969061077,38.346465124,1
92.969070487,38.346457692,1
92.969081705,38.346450931,1
92.969091818,38.346439565,1
92.969098993,38.346432403,1
92.969109791,38.346423796,1
